Data collection started on {01/24/2018 11:26:17.013}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]
0.0000000000	14.6791790646	-238.8647287709	74.0672922866	95.5519951171	-32.8068970779	10.4676890211	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.4157778286	-0.4353093767	-0.3835507744	0.1491721981	-0.6203707942	-0.4265201801	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0137331197	-0.0086060883	-0.2829022660	0.0532845045	-0.1353170062	-0.0503547723	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.5000381476	2.8589303426	0.8250125887	2.4750377661	
0.0200000000	-75.5931944762	-213.6568245975	40.8026245518	52.8877698939	-31.6472114137	15.5336842908	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.3215381094	-0.4006408789	-0.2004425116	0.1311055161	-0.5207598993	-0.4592355230	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0316777295	-0.0119020371	-0.2832684825	0.0507209888	-0.1411764706	-0.0404669261	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8711375601	2.8918898299	0.8250125887	2.4750377661	
0.0400000000	-138.0331120775	-175.6313420310	3.0212863355	-14.5571068894	-21.7593652247	19.4399938964	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.2629434653	-0.0837415122	-0.1389181353	0.1052262150	-0.4382391089	-0.4035706111	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0481574731	-0.0049439231	-0.2818036164	0.0452277409	-0.1463035019	-0.0404669261	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8894483864	2.8882276646	0.8250125887	2.4750377661	
0.0600000000	-163.3630884260	-102.6321812772	-67.0481422141	-51.6060120546	-7.1717402914	10.2845807584	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.1174334325	-0.2937056535	-0.0026855879	0.1745632105	-0.4987869078	-0.2990768292	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0635385672	0.0053101396	-0.2770428016	0.0415655756	-0.1430075532	-0.0459601740	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8870069429	2.8809033341	0.8250125887	2.4750377661	
0.0800000000	-193.6369878691	41.2298771649	-97.0168612192	-82.7954528115	-2.2278171969	5.9510185397	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0847180896	-0.3420462348	-0.0324711986	0.0813000687	-0.4895094224	-0.3947814145	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0719615473	0.0159304189	-0.2719157702	0.0448615244	-0.1382467384	-0.0470588235	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8833447776	2.8955519951	0.8250125887	2.4750377661	
0.1000000000	-220.1876859693	180.0259403372	-104.4022278172	-117.7080949111	13.5805294881	12.9701686122	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.1877470054	-0.3322804608	-0.0837415122	0.1071793698	-0.4274967575	-0.5095292592	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0726939803	0.0276493477	-0.2711833371	0.0444953079	-0.1279926757	-0.0540169375	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8931105516	2.8784618906	0.8250125887	2.4750377661	
0.1200000000	-223.1784542611	244.9683375296	-71.1375600824	-165.4383154040	29.8161287861	9.0638590066	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.3762264439	-0.1931181811	-0.1760280766	0.0695811398	-0.4445868620	-0.3898985275	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0620737011	0.0415655756	-0.2711833371	0.0477912566	-0.1188372625	-0.0602426184	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8906691081	2.8821240558	0.8250125887	2.4750377661	
0.1400000000	-154.0856031128	251.7433432517	-29.2057679103	-174.5937285420	41.0467689021	12.6649881743	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.4079652094	0.0163576715	-0.3010299840	0.1159685664	-0.2453650721	-0.3928282597	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0488899062	0.0576791028	-0.2708171206	0.0510872053	-0.1027237354	-0.0470588235	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.9053177691	2.8906691081	0.8250125887	2.4750377661	
0.1600000000	-18.4023804074	268.7724116884	-12.2987716487	-157.2594796674	39.3987945373	-18.3413443198	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.6242771038	0.1071793698	-0.5793545434	0.1755397879	-0.3400930800	-0.4611886778	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0305790799	0.0679331655	-0.2697184710	0.0499885557	-0.0847791257	-0.0650034333	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8894483864	2.8686961166	0.8250125887	2.4750377661	
0.1800000000	152.6817730983	220.6149385824	19.6841382467	-60.3341725795	22.7969787137	-10.5287251087	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.0305180438	0.8088502327	-0.0666514076	-0.8610971237	0.2180209049	-0.0915541314	-0.6931258106	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	0.0002441444	-0.0104371710	0.0704966812	-0.2697184710	0.0584115358	-0.0770885786	-0.0474250401	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	0.0001831083	2.8943312734	2.8613717861	0.8250125887	2.4750377661	
